id,full_equation,complexity,full_equation_tokens_bpe,full_equation_token_ids
6333,h=tan(G+w+w),3,h=tan(G+w+w),"[628, 315, 360, 755, 753]"
4065,Q=sum_j=0^n(k+x+v_1+h)-(k+y)^2+da/dt,5,Q=sum_j=0^n(k+x+v_1+h)-(k+y)^2+da/dt,"[395, 308, 646, 756, 122, 499, 628, 51, 765, 90, 603, 136]"
9547,v=F_1^n,2,v=F_1^n,"[743, 351, 495, 483]"
618,n=log(h-tau+theta),3,n=log(h-tau+theta),"[669, 278, 632, 729, 732]"
3282,m_avg=(1/2+b)^2,2,m_avg=(1/2+b)^2,"[664, 190, 579, 89]"
5227,a=(4*beta)/(psi),2,a=(4*beta)/(psi),"[558, 198, 111, 589, 57, 699]"
3398,L=tan(c+a_1-c_2),3,L=tan(c+a_1-c_2),"[372, 315, 596, 558, 500, 593, 503]"
3066,p=w_rms,1,p=w_rms,"[684, 752, 553]"
767,Q=(2*b_i)/(4/3-x),2,Q=(2*b_i)/(4/3-x),"[399, 148, 586, 83, 757]"
7079,y=partialh/partialx,4,y=partialh/partialx,"[765, 294, 145]"
5280,B=s_min^circ*T_0+partiala/partialx-(R+C+W)^3,5,B=s_min^circ*T_0+partiala/partialx-(R+C+W)^3,"[325, 298, 538, 478, 415, 492, 690, 558, 145, 125, 406, 336, 432, 94]"
4150,P=cos(1/2-e*mu)+cos(1*N_A*x-B),5,P=cos(1/2-e*mu)+cos(1*N_A*x-B),"[386, 233, 20, 607, 665, 40, 598, 2, 383, 759, 326]"
1145,R=dI/dt-int_a^L(pi+alpha_rms^n+R)dr,5,R=dI/dt-int_a^L(pi+alpha_rms^n+R)dr,"[403, 240, 138, 644, 473, 696, 576, 553, 486, 403, 107]"
4249,A=int(k+c+m+sigma_net)dx,4,A=int(k+c+m+sigma_net)dx,"[317, 261, 646, 596, 659, 709, 545, 109]"
4111,W=w,1,W=w,"[437, 752]"
463,y=log(1/2+psi_0+p_min),3,y=log(1/2+psi_0+p_min),"[765, 277, 13, 698, 492, 680, 539]"
2933,R_max=exp(1*e-p-y),3,R_max=exp(1*e-p-y),"[403, 531, 257, 2, 609, 683, 766]"
4624,L=partialV/partialy,4,L=partialV/partialy,"[372, 279, 424, 146]"
3814,a=dA/dt,4,a=dA/dt,"[565, 317, 136]"
6309,a=partialC/partialt,4,a=partialC/partialt,"[566, 334, 143]"
4342,g_f=(beta_i)/(2-v),2,g_f=(beta_i)/(2-v),"[617, 523, 589, 526, 158, 739]"
5301,L=t,1,L=t,"[377, 721]"
6805,W=int_0^L(B)dr-(v-p^+)/(4/3+c-T)+int(1+R+beta)dt-(N_A+d)^2,5,W=int_0^L(B)dr-(v-p^+)/(4/3+c-T)+int(1+R+beta)dt-(N_A+d)^2,"[432, 265, 325, 107, 125, 742, 680, 446, 82, 597, 415, 40, 640, 5, 589, 108, 125, 384, 600, 89]"
3283,a_2=sqrt(2+E_avg),3,a_2=sqrt(2+E_avg),"[569, 302, 149, 343, 510]"
2575,P_1=(c*I)/(2/3*N_A*c_1)-(beta+x_net)^2-sum_i=0^N(A+B^3)-sum_i=0^n(2+k+s),5,P_1=(c*I)/(2/3*N_A*c_1)-(beta+x_net)^2-sum_i=0^N(A+B^3)-sum_i=0^n(2+k+s),"[386, 501, 595, 362, 71, 383, 593, 495, 50, 592, 763, 92, 717, 205, 319, 325, 467, 49, 717, 209, 156, 707]"
7962,z=(A_i)/(gamma),2,z=(A_i)/(gamma),"[778, 317, 526, 626]"
7880,I=sum_j=0^inf(2+e+n_rms^circ)+partialh/partialx-partialh/partialr+(1*e-Q_max)/(1/2*alpha_0-a_avg+g_rms),5,I=sum_j=0^inf(2+e+n_rms^circ)+partialh/partialx-partialh/partialr+(1*e-Q_max)/(1/2*alpha_0-a_avg+g_rms),"[362, 307, 207, 154, 675, 476, 47, 628, 145, 128, 628, 142, 114, 2, 609, 402, 62, 576, 493, 558, 513, 617, 554]"
829,p_0=sum_n=0^N(h_min+alpha),4,p_0=sum_n=0^N(h_min+alpha),"[680, 488, 313, 205, 628, 542, 577]"
6487,a_net=(3+n)/(1/2-theta),2,a_net=(3+n)/(1/2-theta),"[558, 545, 197, 669, 64, 732]"
7600,T=(1/3+G*I)/(R-Q_min-g-v)-dL/dt-(2/3+h+phi_max+theta)^n,5,T=(1/3+G*I)/(R-Q_min-g-v)-dL/dt-(2/3+h+phi_max+theta)^n,"[415, 193, 359, 362, 57, 407, 395, 543, 617, 124, 738, 53, 372, 136, 125, 160, 631, 691, 535, 731, 98]"
2541,y=delta,1,y=delta,"[765, 251]"
5747,C=(4/3+p_i)/(4+delta),2,C=(4/3+p_i)/(4+delta),"[334, 202, 680, 524, 79, 605]"
8527,a=mu^3,2,a=mu^3,"[563, 665, 467]"
9567,n=(w)/(w),2,n=(w)/(w),"[673, 752, 57, 753]"
3743,h_i=cos(4+R*a),3,h_i=cos(4+R*a),"[636, 235, 405, 559]"
7499,a_max=int_0^inf(1/3+pi+h^-)dt,4,a_max=int_0^inf(1/3+pi+h^-)dt,"[573, 264, 481, 28, 628, 451, 108]"
3525,T=exp(h+psi-delta)+(k+B+lambda_f^-1+w^circ)^3,5,T=exp(h+psi-delta)+(k+B+lambda_f^-1+w^circ)^3,"[415, 258, 631, 701, 604, 41, 646, 327, 648, 516, 460, 752, 476, 94]"
21,m=4+t,1,m=4+t,"[656, 226, 121]"
1916,A=delta,1,A=delta,"[317, 251]"
6572,b_avg=(2+gamma)/(3-theta_0),2,b_avg=(2+gamma)/(3-theta_0),"[579, 509, 195, 625, 76, 731, 489]"
9019,m=partialR/partialt,4,m=partialR/partialt,"[656, 289, 143]"
2013,g=ln(x+Q),3,g=ln(x+Q),"[617, 275, 758, 396]"
5406,g=4/3-t,1,g=4/3-t,"[617, 232, 721]"
1296,W=1/2*c,1,W=1/2*c,"[432, 214, 593]"
3746,x=2+n,1,x=2+n,"[760, 149, 669]"
592,n_net=(1+gamma)^n,2,n_net=(1+gamma)^n,"[669, 545, 187, 625, 98]"
1407,Q_min=(4+gamma)^2,2,Q_min=(4+gamma)^2,"[395, 538, 199, 625, 89]"
222,R=(1+psi)^2,2,R=(1+psi)^2,"[403, 187, 698, 89]"
5618,g=exp(2+psi-sigma),3,g=exp(2+psi-sigma),"[617, 258, 149, 701, 710]"
6249,B=dg/dx,4,B=dg/dx,"[325, 252, 139]"
4419,L=sum_i=1^N(N_A+B^-),4,L=sum_i=1^N(N_A+B^-),"[372, 303, 221, 384, 325, 452]"
859,a_net=partialg/partialx,4,a_net=partialg/partialx,"[558, 545, 293, 145]"
1784,W_i=dm/dt,4,W_i=dm/dt,"[432, 524, 254, 136]"
7260,P=(2/3+h+a+A_0^-)^1/2-cos(4/3-c-gamma_2)-ln(I_2-g)-cos(R+c),5,P=(2/3+h+a+A_0^-)^1/2-cos(4/3-c-gamma_2)-ln(I_2-g)-cos(R+c),"[386, 196, 631, 561, 323, 451, 88, 598, 38, 597, 625, 502, 54, 362, 507, 617, 49, 599, 406, 594]"
6857,p=(2/3+delta_i)^2,2,p=(2/3+delta_i)^2,"[680, 196, 604, 524, 89]"
1955,m=partialh/partialr+dm/dx-sum_i=1^N(4/3+G+y_i),5,m=partialh/partialr+dm/dx-sum_i=1^N(4/3+G+y_i),"[656, 294, 142, 120, 656, 141, 717, 220, 37, 360, 765, 525]"
1747,v=(2+omega)^n,2,v=(2+omega)^n,"[738, 195, 676, 98]"
3133,I_i=cos(4*c-s_f),3,I_i=cos(4*c-s_f),"[362, 524, 233, 31, 597, 706, 517]"
8037,a_f=(2+w)/(4/3*phi),2,a_f=(2+w)/(4/3*phi),"[571, 195, 752, 81, 692]"
8851,B=2/3-t,1,B=2/3-t,"[328, 166, 721]"
995,v=4/3*e-lambda_2+C_1+delta_f-(3+pi+beta+g_0^n)^n+(4/3+k+Q+b_net+v)^-1-(1/3+R+delta^++b_net)^2,5,v=4/3*e-lambda_2+C_1+delta_f-(3+pi+beta+g_0^n)^n+(4/3+k+Q+b_net+v)^-1-(1/3+R+delta^++b_net)^2,"[738, 230, 609, 648, 506, 334, 499, 604, 516, 125, 175, 592, 617, 488, 483, 99, 37, 646, 397, 587, 122, 84, 124, 22, 406, 604, 449, 587, 89]"
6109,x=int(1/3+k+delta)dt,4,x=int(1/3+k+delta)dt,"[756, 260, 27, 604, 108]"
731,n=psi,1,n=psi,"[672, 698]"
6975,B=4+r_avg+(1/2+epsilon_max)^n+3-h+m-int(1+pi+v)dx,5,B=4+r_avg+(1/2+epsilon_max)^n+3-h+m-int(1+pi+v)dx,"[325, 228, 702, 513, 13, 611, 531, 99, 176, 631, 660, 640, 10, 738, 109]"
6274,A_max=partialV/partialr,4,A_max=partialV/partialr,"[317, 531, 279, 424, 142]"
6752,x=(epsilon)/(1/3*phi),2,x=(epsilon)/(1/3*phi),"[761, 611, 65, 692]"
3510,V=int_L^L(h+m+T)dr+(k+mu)^n,5,V=int_L^L(h+m+T)dr+(k+mu)^n,"[424, 269, 631, 659, 415, 107, 115, 646, 665, 98]"
3534,a=sum_n=0^inf(1+pi+v_1+B),4,a=sum_n=0^inf(1+pi+v_1+B),"[558, 313, 206, 10, 738, 499, 326]"
2514,x_min=partialI/partialt,4,x_min=partialI/partialt,"[756, 538, 285, 143]"
5437,A=(1/3-F_2)/(z),2,A=(1/3-F_2)/(z),"[317, 194, 351, 504, 775]"
3626,x=1/3*u,1,x=1/3*u,"[756, 217, 734]"
466,a=p,1,a=p,"[563, 680]"
6756,F=2/3*V_0,1,F=2/3*V_0,"[354, 159, 424, 488]"
6760,B_rms=(4/3+h+W_max+t_f)^n-sin(1+h+theta)+sin(3*s_f*lambda_avg^circ+lambda),5,B_rms=(4/3+h+W_max+t_f)^n-sin(1+h+theta)+sin(3*s_f*lambda_avg^circ+lambda),"[333, 202, 631, 432, 535, 721, 516, 104, 713, 8, 731, 40, 714, 167, 706, 519, 648, 509, 479, 649]"
7992,Q=(2-sigma_min)/(4/3*B),2,Q=(2-sigma_min)/(4/3*B),"[399, 158, 709, 538, 81, 326]"
158,A_2=sin(R+a+P),3,A_2=sin(R+a+P),"[317, 502, 300, 406, 561, 387]"
3961,P=g,1,P=g,"[390, 617]"
8833,m=sqrt(G+u+beta_f),3,m=sqrt(G+u+beta_f),"[656, 302, 360, 736, 589, 517]"
5471,B=3*v,1,B=3*v,"[328, 167, 738]"
186,p=a_f,1,p=a_f,"[684, 571]"
1003,F_avg=exp(h+r),3,F_avg=exp(h+r),"[356, 258, 631, 703]"
9509,h=sum_i=1^inf(e+gamma+p+gamma),4,h=sum_i=1^inf(e+gamma+p+gamma),"[628, 306, 608, 627, 682, 626]"
5624,x_rms=partialn/partialx,4,x_rms=partialn/partialx,"[764, 296, 145]"
401,I=x,1,I=x,"[366, 756]"
6241,L=4-d,1,L=4-d,"[372, 226, 127]"
8941,C=4/3*gamma,1,C=4/3*gamma,"[334, 230, 625]"
9933,a=cos(pi+omega_avg),3,a=cos(pi+omega_avg),"[558, 234, 696, 676, 510]"
7343,V=sin(pi+t_min+v_f),3,V=sin(pi+t_min+v_f),"[424, 300, 696, 721, 542, 738, 517]"
9833,h_net=sqrt(4*phi+P_i),3,h_net=sqrt(4*phi+P_i),"[628, 545, 301, 31, 694, 386, 525]"
8467,a=y_2^n,2,a=y_2^n,"[563, 765, 502, 483]"
8757,x_f=t_i^2,2,x_f=t_i^2,"[756, 522, 721, 524, 462]"
7959,P=dp/dt,4,P=dp/dt,"[386, 236, 680, 136]"
1251,T=gamma,1,T=gamma,"[419, 625]"
3144,a_rms=dT/dt,4,a_rms=dT/dt,"[575, 246, 136]"
7431,A=2+omega_i,1,A=2+omega_i,"[321, 149, 676, 524]"
60,a=e+w+psi+sqrt(4/3+N_A+P),5,a=e+w+psi+sqrt(4/3+N_A+P),"[563, 608, 755, 700, 715, 37, 384, 387]"
7856,g=4/3*sigma_i,1,g=4/3*sigma_i,"[617, 230, 709, 524]"
1114,E_rms=sum_k=1^N(4+G+V_min),4,E_rms=sum_k=1^N(4+G+V_min),"[350, 310, 220, 33, 424, 539]"
3058,E=ln(2+N_A*a),3,E=ln(2+N_A*a),"[343, 275, 149, 383, 559]"
9570,F=sin(4/3-I^2)+(k*r)/(k-B-tau*epsilon)-exp(4/3+b^+)+partialI/partialr,5,F=sin(4/3-I^2)+(k*r)/(k-B-tau*epsilon)-exp(4/3+b^+)+partialI/partialr,"[351, 299, 38, 362, 462, 41, 645, 702, 57, 647, 325, 124, 727, 111, 611, 49, 615, 37, 579, 446, 47, 362, 142]"
1329,E=sum_n=1^n(2+e+B_net+T),4,E=sum_n=1^n(2+e+B_net+T),"[343, 314, 154, 325, 549, 416]"
4996,V=1/3*sigma_net,1,V=1/3*sigma_net,"[424, 217, 709, 545]"
6683,z=exp(1/3+a_rms),3,z=exp(1/3+a_rms),"[774, 257, 22, 558, 554]"
2073,a=sin(k+gamma_max+g),3,a=sin(k+gamma_max+g),"[558, 300, 646, 625, 535, 618]"
4794,Q_0=partialB/partialt,4,Q_0=partialB/partialt,"[395, 488, 281, 143]"
6830,v_1=1/3*e*sigma_2*lambda-2+N_A-delta_f-r,5,v_1=1/3*e*sigma_2*lambda-2+N_A-delta_f-r,"[746, 217, 607, 709, 505, 651, 149, 385, 604, 521, 702]"
9630,W=1/2-R*lambda^n+(4/3+R*r^3*L)/(4-k+b_rms^2-epsilon_i+I^-)+4*N_A-z-omega+r,5,W=1/2-R*lambda^n+(4/3+R*r^3*L)/(4-k+b_rms^2-epsilon_i+I^-)+4*N_A-z-omega+r,"[432, 216, 405, 648, 486, 37, 405, 702, 469, 372, 80, 646, 588, 466, 611, 528, 362, 451, 40, 178, 385, 774, 124, 678, 702]"
8219,L_max=sum_j=1^n(s+phi+c),4,L_max=sum_j=1^n(s+phi+c),"[372, 531, 309, 708, 694, 594]"
7568,p=log(C-n_0),3,p=log(C-n_0),"[680, 278, 334, 124, 669, 489]"
5923,h=sin(2/3+h_net+T),3,h=sin(2/3+h_net+T),"[628, 300, 160, 628, 549, 416]"
1551,n=mu,1,n=mu,"[672, 665]"
1010,E=R*v-c^--psi+R_1-exp(k+r+psi)+sum_j=1^N(4/3+k+v),5,E=R*v-c^--psi+R_1-exp(k+r+psi)+sum_j=1^N(4/3+k+v),"[347, 405, 742, 593, 455, 700, 403, 500, 616, 646, 704, 698, 40, 718, 220, 37, 646, 739]"
3756,h=4/3-w,1,h=4/3-w,"[628, 232, 752]"
8682,Q=(y)/(L),2,Q=(y)/(L),"[399, 765, 57, 373]"
9343,A=sqrt(e+u_f),3,A=sqrt(e+u_f),"[317, 302, 608, 734, 517]"
8010,x_f=sum_j=0^inf(4/3+c+delta_1+v+theta_2)+(1+delta_rms*u)/(1/2*k+L-a+V)-(A-u_min)/(c*beta^+*V*t),5,x_f=sum_j=0^inf(4/3+c+delta_1+v+theta_2)+(1+delta_rms*u)/(1/2*k+L-a+V)-(A-u_min)/(c*beta^+*V*t),"[756, 516, 307, 206, 37, 596, 604, 495, 122, 114, 731, 502, 40, 3, 604, 555, 734, 62, 646, 372, 124, 561, 424, 50, 320, 734, 540, 595, 589, 448, 424, 111, 722]"
3861,I=P_0,1,I=P_0,"[366, 392]"
3149,b=partialT/partialr,4,b=partialT/partialr,"[579, 290, 142]"
2520,P=(3-b+psi_net)/(1/3-n_net*g_avg)-(k+P_net*A_net-Q)/(1+c*u-sigma_0),5,P=(3-b+psi_net)/(1/3-n_net*g_avg)-(k+P_net*A_net-Q)/(1+c*u-sigma_0),"[391, 176, 581, 698, 545, 67, 669, 548, 623, 51, 386, 548, 317, 550, 395, 60, 595, 737, 709, 489]"
3128,y=exp(e-P),3,y=exp(e-P),"[765, 258, 609, 387]"
9085,I_rms=(R*b_0+phi_net^2)/(pi+W*n)+h+s-(phi+A)^3,5,I_rms=(R*b_0+phi_net^2)/(pi+W*n)+h+s-(phi+A)^3,"[371, 184, 405, 579, 492, 691, 545, 462, 57, 696, 434, 669, 40, 631, 706, 125, 694, 317, 94]"
5317,h=(3+V)/(3*b_0),2,h=(3+V)/(3*b_0),"[628, 197, 424, 74, 579, 489]"
1196,g=1/2-beta,1,g=1/2-beta,"[617, 216, 589]"
9051,Q=A_f,1,Q=A_f,"[398, 317, 516]"
880,a=dg/dx-ln(h+alpha_2^2*a_min)+(k*n+psi-beta_1)/(alpha_2)-dL/dx,5,a=dg/dx-ln(h+alpha_2^2*a_min)+(k*n+psi-beta_1)/(alpha_2)-dL/dx,"[565, 617, 141, 653, 631, 576, 502, 464, 574, 41, 645, 671, 701, 589, 497, 576, 502, 53, 372, 139]"
6990,V_avg=(4+R-psi_avg-v_net*C^2)/(e+T+beta_i)-sum_i=1^n(pi+V_min^+)-tan(N_A+P+t_avg+Q_net^-),5,V_avg=(4+R-psi_avg-v_net*C^2)/(e+T+beta_i)-sum_i=1^n(pi+V_min^+)-tan(N_A+P+t_avg+Q_net^-),"[430, 199, 407, 698, 514, 738, 548, 334, 462, 57, 608, 418, 589, 524, 49, 717, 225, 696, 431, 446, 56, 384, 386, 121, 513, 395, 545, 452]"
2488,I=ln(R*Q_rms-u),3,I=ln(R*Q_rms-u),"[362, 275, 405, 395, 557, 735]"
2841,P=L_net,1,P=L_net,"[390, 382]"
4330,A_f=(G+r)^n+sin(1/3+P+Q)-y*a_rms-b-(e+theta+r_1^-)^2,5,A_f=(G+r)^n+sin(1/3+P+Q)-y*a_rms-b-(e+theta+r_1^-)^2,"[317, 523, 360, 702, 99, 713, 22, 388, 395, 49, 765, 112, 557, 579, 125, 608, 733, 702, 495, 451, 89]"
2931,a=theta_min,1,a=theta_min,"[563, 731, 538]"
6425,A=sin(2/3+R+F)+(1/2-pi-W_max)/(2-k*gamma*g)-tan(pi*n^-1-B),5,A=sin(2/3+R+F)+(1/2-pi-W_max)/(2-k*gamma*g)-tan(pi*n^-1-B),"[317, 300, 163, 351, 40, 20, 697, 432, 533, 158, 645, 625, 111, 617, 56, 695, 669, 461, 326]"
2486,L=gamma_2,1,L=gamma_2,"[377, 625, 502]"
5748,A=sin(R+V),3,A=sin(R+V),"[317, 300, 406, 425]"
884,R_i=dg/dt,4,R_i=dg/dt,"[411, 252, 136]"
4915,Q_net=phi+(e+g^2+omega)^2,5,Q_net=phi+(e+g^2+omega)^2,"[395, 551, 691, 115, 608, 617, 465, 676, 89]"
6211,Q=3+n_f,1,Q=3+n_f,"[398, 168, 669, 516]"
9579,x=sum_i=1^inf(1/2+c+x+C),4,x=sum_i=1^inf(1/2+c+x+C),"[756, 303, 222, 15, 758, 335]"
212,g=(1/2-gamma)/(1/3*v_avg),2,g=(1/2-gamma)/(1/3*v_avg),"[617, 191, 625, 65, 738, 510]"
2276,A=B,1,A=B,"[321, 325]"
2329,L=dR/dx,4,L=dR/dx,"[372, 245, 139]"
4951,z=B,1,z=B,"[777, 325]"
3320,I_net=(1/3-c+beta+x)/(2*e*A-A)+dm/dt+(1/2+c+sigma^++epsilon)^3,5,I_net=(1/3-c+beta+x)/(2*e*A-A)+dm/dt+(1/2+c+sigma^++epsilon)^3,"[362, 545, 194, 596, 592, 756, 68, 607, 320, 317, 45, 656, 137, 15, 709, 449, 611, 94]"
9835,b=sum_n=1^N(G+v_net)+sum_k=0^N(1/2+s),5,b=sum_n=1^N(G+v_net)+sum_k=0^N(1/2+s),"[579, 313, 221, 360, 750, 40, 719, 204, 13, 707]"
4608,W_0=sqrt(c+x+h),3,W_0=sqrt(c+x+h),"[432, 488, 302, 596, 758, 629]"
1439,a=partialV/partialy,4,a=partialV/partialy,"[566, 424, 146]"
468,m=ln(1/2-N_A+theta-a_max),3,m=ln(1/2-N_A+theta-a_max),"[661, 652, 20, 384, 731, 124, 558, 532]"
5467,A=(4/3-z)/(2+epsilon),2,A=(4/3-z)/(2+epsilon),"[317, 203, 774, 69, 612]"
3330,I=(2-pi+beta^3-psi*B_0)/(1*h+L^*+u_rms^n-epsilon)-(1/3-R+m)/(theta)-k-a-W_1^-+omega_1,5,I=(2-pi+beta^3-psi*B_0)/(1*h+L^*+u_rms^n-epsilon)-(1/3-R+m)/(theta)-k-a-W_1^-+omega_1,"[367, 158, 696, 589, 471, 698, 111, 325, 488, 59, 631, 372, 444, 734, 553, 487, 611, 49, 29, 406, 656, 57, 731, 49, 647, 562, 432, 495, 454, 676, 495]"
5829,V=sum_j=0^n(N_A+Q_1+W+sigma),4,V=sum_j=0^n(N_A+Q_1+W+sigma),"[424, 308, 384, 395, 499, 435, 710]"
8608,h_2=ln(R-omega+epsilon),3,h_2=ln(R-omega+epsilon),"[628, 502, 275, 407, 678, 612]"
697,n=(3+gamma_rms)^n,2,n=(3+gamma_rms)^n,"[669, 197, 625, 553, 98]"
7268,R=tan(4+k+sigma+beta),3,R=tan(4+k+sigma+beta),"[403, 316, 646, 712, 590]"
9145,P=4/3*N_A+d*w*w-(1/2*e+z)/(4*G-z_rms^circ+beta^+)-sin(3-e+T_1+Q-c)+3*t-A*I,5,P=4/3*N_A+d*w*w-(1/2*e+z)/(4*G-z_rms^circ+beta^+)-sin(3-e+T_1+Q-c)+3*t-A*I,"[386, 230, 384, 600, 111, 754, 752, 124, 12, 608, 774, 78, 361, 774, 553, 479, 589, 446, 49, 714, 176, 608, 415, 499, 395, 124, 593, 40, 167, 724, 317, 111, 362]"
8181,n=t_f,1,n=t_f,"[672, 721, 516]"
9939,n_min=partialW/partialt,4,n_min=partialW/partialt,"[674, 291, 143]"
1315,A=sum_k=0^inf(G+F)-e*p_max+x^-+V,5,A=sum_k=0^inf(G+F)-e*p_max+x^-+V,"[317, 311, 360, 351, 49, 607, 680, 535, 756, 454, 424]"
2302,g=(1*n)/(4/3+Q),2,g=(1*n)/(4/3+Q),"[617, 186, 669, 82, 396]"
2040,z=sum_i=0^N(k+Q_avg)-sqrt(3*pi*g_f^-1*t*alpha_min),5,z=sum_i=0^N(k+Q_avg)-sqrt(3*pi*g_f^-1*t*alpha_min),"[774, 303, 205, 646, 401, 49, 716, 167, 695, 617, 516, 459, 721, 111, 576, 539]"
7109,I=int_0^b(2+h+w+delta+L)dt,4,I=int_0^b(2+h+w+delta+L)dt,"[362, 266, 155, 755, 606, 372, 108]"
3667,x=theta_f^n,2,x=theta_f^n,"[760, 731, 516, 483]"
915,p=(G+alpha_avg+c)/(c+beta_max*tau)+h*c^-+I_min+V-sin(2/3+e+y_0+p)+sin(G-A^3+tau*tau_f),5,p=(G+alpha_avg+c)/(c+beta_max*tau)+h*c^-+I_min+V-sin(2/3+e+y_0+p)+sin(G-A^3+tau*tau_f),"[685, 360, 576, 513, 593, 57, 596, 589, 534, 727, 40, 630, 593, 454, 362, 542, 427, 714, 164, 765, 492, 680, 40, 714, 361, 317, 470, 727, 111, 727, 517]"
13,Q=sin(3-N_A+c_2),3,Q=sin(3-N_A+c_2),"[395, 300, 176, 384, 593, 503]"
8584,I_rms=partialA/partialy,4,I_rms=partialA/partialy,"[371, 280, 146]"
6428,a=sin(e-a-A),3,a=sin(e-a-A),"[558, 300, 609, 562, 318]"
1537,p_max=(L_f)/(1/2+lambda_avg),2,p_max=(L_f)/(1/2+lambda_avg),"[680, 537, 381, 63, 648, 510]"
737,P=(v_min)/(s),2,P=(v_min)/(s),"[391, 738, 540, 707]"
8202,V=(4/3*alpha)/(g_net),2,V=(4/3*alpha)/(g_net),"[424, 201, 576, 57, 617, 546]"
8653,E=tan(4/3+B),3,E=tan(4/3+B),"[343, 315, 181, 326]"
454,P=int(e+Q_max+h+v_1)dt,4,P=int(e+Q_max+h+v_1)dt,"[386, 261, 608, 395, 535, 631, 746, 108]"
4346,L=y,1,L=y,"[377, 765]"
928,P_0=tan(pi-a_f),3,P_0=tan(pi-a_f),"[392, 315, 697, 558, 517]"
6292,T=(W)/(F),2,T=(W)/(F),"[420, 432, 57, 352]"
8282,I=(4+b_rms)^3,2,I=(4+b_rms)^3,"[362, 199, 588, 94]"
8723,R=cos(1+N_A+y+alpha),3,R=cos(1+N_A+y+alpha),"[403, 233, 3, 384, 768, 577]"
6474,m=dA/dt,4,m=dA/dt,"[656, 237, 136]"
38,V_min=log(2+h*h+P),3,V_min=log(2+h*h+P),"[431, 278, 149, 630, 631, 387]"
5771,A=W,1,A=W,"[321, 432]"
2555,n=2/3-pi-theta-b_min^-*w_f+(4-k-sigma_0*C_max)/(R+alpha_i),5,n=2/3-pi-theta-b_min^-*w_f+(4-k-sigma_0*C_max)/(R+alpha_i),"[672, 166, 697, 731, 124, 579, 538, 453, 752, 520, 35, 647, 709, 491, 334, 533, 406, 576, 525]"
7633,B_min=sqrt(pi+r+E_2),3,B_min=sqrt(pi+r+E_2),"[332, 302, 696, 704, 343, 503]"
9999,a=partialC/partialt,4,a=partialC/partialt,"[566, 334, 143]"
6621,I=1+L,1,I=1+L,"[362, 212, 372]"
941,a=1/3+F_0,1,a=1/3+F_0,"[558, 218, 351, 488]"
7399,F_2=int(2/3+d+t)dt,4,F_2=int(2/3+d+t)dt,"[351, 502, 261, 160, 600, 121, 108]"
6129,B=dC/dt,4,B=dC/dt,"[325, 238, 136]"
9830,R_0=(k*B+L)/(1/2-N_A*lambda*V^+)-2/3+N_A-F+c-omega^--a_i+d^n,5,R_0=(k*B+L)/(1/2-N_A*lambda*V^+)-2/3+N_A-F+c-omega^--a_i+d^n,"[403, 494, 645, 327, 372, 64, 383, 648, 111, 424, 446, 49, 160, 385, 353, 597, 676, 455, 558, 528, 600, 483]"
2681,Q=3-n,1,Q=3-n,"[398, 176, 669]"
4355,y=1/3-pi+r_rms*w_net*a_net-4/3+R_net+P,5,y=1/3-pi+r_rms*w_net*a_net-4/3+R_net+P,"[765, 219, 696, 702, 555, 752, 548, 558, 550, 181, 403, 549, 386]"
3059,g=sum_i=0^inf(4/3+k+omega_1+z_f+T),4,g=sum_i=0^inf(4/3+k+omega_1+z_f+T),"[617, 303, 206, 37, 646, 676, 499, 774, 520, 416]"
7881,T=1/3-P_i,1,T=1/3-P_i,"[415, 219, 394]"
739,a=int_0^b(2/3+N_A+c^-+V)dV,4,a=int_0^b(2/3+N_A+c^-+V)dV,"[558, 266, 162, 593, 454, 424, 106]"
539,y=int(alpha_net+n_min)dV,4,y=int(alpha_net+n_min)dV,"[765, 261, 576, 549, 674, 106]"
3326,a=g_net,1,a=g_net,"[563, 617, 545]"
4240,a_min=(2/3+R+a)/(pi+a-w)+s^n,5,a_min=(2/3+R+a)/(pi+a-w)+s^n,"[574, 196, 406, 558, 57, 696, 562, 752, 40, 706, 483]"
1401,F=omega_1,1,F=omega_1,"[354, 676, 495]"
4047,B_2=(4-mu)/(I),2,B_2=(4-mu)/(I),"[325, 502, 200, 665, 57, 363]"
5138,y=tan(2+c+gamma_1+T),3,y=tan(2+c+gamma_1+T),"[765, 315, 153, 625, 499, 416]"
4230,W=log(G+psi^2-c^circ+phi_net)+(pi+m^3+y+c)^n+1-(h*m)/(1*c*x^+)+sum_i=1^n(g_min+beta^*),5,W=log(G+psi^2-c^circ+phi_net)+(pi+m^3+y+c)^n+1-(h*m)/(1*c*x^+)+sum_i=1^n(g_min+beta^*),"[432, 278, 360, 698, 466, 593, 479, 691, 545, 41, 696, 656, 470, 768, 593, 101, 125, 630, 656, 59, 595, 756, 446, 40, 717, 225, 617, 542, 589, 442]"
4192,W=beta_net^n,2,W=beta_net^n,"[437, 589, 545, 483]"
9143,h=cos(3+t+s),3,h=cos(3+t+s),"[628, 234, 168, 723, 707]"
5539,p=int(2+R+E_avg+C^2)dV,4,p=int(2+R+E_avg+C^2)dV,"[680, 261, 152, 343, 513, 334, 462, 106]"
2693,L_f=sin(h+omega_max+theta_2),3,L_f=sin(h+omega_max+theta_2),"[381, 300, 631, 676, 535, 731, 503]"
5341,z=4-m,1,z=4-m,"[774, 229, 656]"
