id,full_equation,complexity,full_equation_tokens_hier,full_equation_token_ids
2228,C=sin(e+I+r_avg),3,<EXPR_START> <ASSIGN_START> IDENT:C = <MUL_START> IDENT:s * IDENT:i * IDENT:n * <PAREN_START> <ADD_START> IDENT:e + IDENT:I + <MUL_START> IDENT:r * UNKNOWN:_ * IDENT:a * IDENT:v * IDENT:g <MUL_END> <ADD_END> <PAREN_END> <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 60, 14, 6, 27, 4, 19, 4, 22, 4, 18, 16, 28, 8, 63, 8, 6, 34, 4, 9, 4, 7, 4, 41, 4, 36, 5, 15, 17, 5, 12, 10]"
5757,g=(1/2*n_2)/(4/3*r_i),2,<EXPR_START> <ASSIGN_START> IDENT:g = <MUL_START> <PAREN_START> <MUL_START> NUMBER:1 / NUMBER:2 * IDENT:n * UNKNOWN:_ * NUMBER:2 <MUL_END> <PAREN_END> / <PAREN_START> <MUL_START> NUMBER:4 / NUMBER:3 * IDENT:r * UNKNOWN:_ * IDENT:i <MUL_END> <PAREN_END> <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 36, 14, 6, 18, 6, 37, 23, 29, 4, 22, 4, 9, 4, 29, 5, 17, 23, 18, 6, 48, 23, 35, 4, 34, 4, 9, 4, 19, 5, 17, 5, 12, 10]"
811,I=epsilon_net,1,<EXPR_START> <ASSIGN_START> IDENT:I = <MUL_START> IDENT:e * IDENT:p * IDENT:s * IDENT:i * IDENT:l * IDENT:o * IDENT:n * UNKNOWN:_ * IDENT:n * IDENT:e * IDENT:t <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 63, 14, 6, 28, 4, 25, 4, 27, 4, 19, 4, 30, 4, 45, 4, 22, 4, 9, 4, 22, 4, 28, 4, 20, 5, 12, 10]"
4181,Q=3+v,1,<EXPR_START> <ASSIGN_START> IDENT:Q = <ADD_START> NUMBER:3 + IDENT:v <ADD_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 59, 14, 16, 35, 8, 41, 15, 12, 10]"
9001,x=B,1,<EXPR_START> <ASSIGN_START> IDENT:x = IDENT:B <ASSIGN_END> <EXPR_END>,"[11, 13, 40, 14, 64, 12, 10]"
5439,V_1=sum_k=0^N(2+h+u_avg),4,<EXPR_START> <ASSIGN_START> <MUL_START> IDENT:V * UNKNOWN:_ * NUMBER:1 <MUL_END> = <MUL_START> IDENT:s * IDENT:u * IDENT:m * UNKNOWN:_ * IDENT:k <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 6, 53, 4, 9, 4, 37, 5, 14, 6, 27, 4, 43, 4, 21, 4, 9, 4, 66, 5, 12, 10]"
7534,a=int(lambda+g_0+Q^3)dr,4,<EXPR_START> <ASSIGN_START> IDENT:a = <MUL_START> IDENT:i * IDENT:n * IDENT:t * <PAREN_START> <ADD_START> <MUL_START> IDENT:l * IDENT:a * IDENT:m * IDENT:b * IDENT:d * IDENT:a <MUL_END> + <MUL_START> IDENT:g * UNKNOWN:_ * NUMBER:0 <MUL_END> + <POW_START> IDENT:Q ^ NUMBER:3 <POW_END> <ADD_END> <PAREN_END> * IDENT:d * IDENT:r <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 7, 14, 6, 19, 4, 22, 4, 20, 4, 18, 16, 6, 30, 4, 7, 4, 21, 4, 44, 4, 38, 4, 7, 5, 8, 6, 36, 4, 9, 4, 52, 5, 8, 32, 59, 33, 35, 31, 15, 17, 4, 38, 4, 34, 5, 12, 10]"
6370,a_net=(2+pi+epsilon*T_f)/(1+R_min-m_avg)+(k+y^-+h_2)^n,5,<EXPR_START> <PARSE_ERROR> IDENT:a OP:* UNDERSCORE:_ OP:* IDENT:n OP:* IDENT:e OP:* IDENT:t OP:= LPAREN:( NUMBER:2 OP:+ IDENT:p OP:* IDENT:i OP:+ IDENT:e OP:* IDENT:p OP:* IDENT:s OP:* IDENT:i OP:* IDENT:l OP:* IDENT:o OP:* IDENT:n OP:* IDENT:T OP:* UNDERSCORE:_ OP:* IDENT:f RPAREN:) OP:/ LPAREN:( NUMBER:1 OP:+ IDENT:R OP:* UNDERSCORE:_ OP:* IDENT:m OP:* IDENT:i OP:* IDENT:n OP:- IDENT:m OP:* UNDERSCORE:_ OP:* IDENT:a OP:* IDENT:v OP:* IDENT:g RPAREN:) OP:+ LPAREN:( IDENT:k OP:+ IDENT:y OP:^ OP:- OP:+ IDENT:h OP:* UNDERSCORE:_ OP:* NUMBER:2 RPAREN:) OP:^ IDENT:n <EXPR_END>,"[11, 80, 7, 24, 62, 24, 22, 24, 28, 24, 20, 79, 68, 29, 49, 25, 24, 19, 49, 28, 24, 25, 24, 27, 24, 19, 24, 30, 24, 45, 24, 22, 24, 56, 24, 62, 24, 51, 69, 73, 68, 37, 49, 46, 24, 62, 24, 21, 24, 19, 24, 22, 55, 21, 24, 62, 24, 7, 24, 41, 24, 36, 69, 49, 68, 66, 49, 54, 71, 55, 49, 39, 24, 62, 24, 29, 69, 71, 22, 10]"
8417,g_f=(1/3+C)^n,2,<EXPR_START> <ASSIGN_START> <MUL_START> IDENT:g * UNKNOWN:_ * IDENT:f <MUL_END> = <POW_START> <PAREN_START> <ADD_START> <MUL_START> NUMBER:1 / NUMBER:3 <MUL_END> + IDENT:C <ADD_END> <PAREN_END> ^ IDENT:n <POW_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 6, 36, 4, 9, 4, 51, 5, 14, 32, 18, 16, 6, 37, 23, 35, 5, 8, 60, 15, 17, 33, 22, 31, 12, 10]"
1478,x=exp(pi+y+delta_1),3,<EXPR_START> <ASSIGN_START> IDENT:x = <MUL_START> IDENT:e * IDENT:x * IDENT:p * <PAREN_START> <ADD_START> <MUL_START> IDENT:p * IDENT:i <MUL_END> + IDENT:y + <MUL_START> IDENT:d * IDENT:e * IDENT:l * IDENT:t * IDENT:a * UNKNOWN:_ * NUMBER:1 <MUL_END> <ADD_END> <PAREN_END> <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 40, 14, 6, 28, 4, 40, 4, 25, 4, 18, 16, 6, 25, 4, 19, 5, 8, 54, 8, 6, 38, 4, 28, 4, 30, 4, 20, 4, 7, 4, 9, 4, 37, 5, 15, 17, 5, 12, 10]"
1791,a=x,1,<EXPR_START> <ASSIGN_START> IDENT:a = IDENT:x <ASSIGN_END> <EXPR_END>,"[11, 13, 7, 14, 40, 12, 10]"
2009,F=dA/dx,4,<EXPR_START> <ASSIGN_START> IDENT:F = <MUL_START> IDENT:d * IDENT:A / IDENT:d * IDENT:x <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 61, 14, 6, 38, 4, 47, 23, 38, 4, 40, 5, 12, 10]"
683,E_2=sin(mu+I_0),3,<EXPR_START> <ASSIGN_START> <MUL_START> IDENT:E * UNKNOWN:_ * NUMBER:2 <MUL_END> = <MUL_START> IDENT:s * IDENT:i * IDENT:n * <PAREN_START> <ADD_START> <MUL_START> IDENT:m * IDENT:u <MUL_END> + <MUL_START> IDENT:I * UNKNOWN:_ * NUMBER:0 <MUL_END> <ADD_END> <PAREN_END> <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 6, 58, 4, 9, 4, 29, 5, 14, 6, 27, 4, 19, 4, 22, 4, 18, 16, 6, 21, 4, 43, 5, 8, 6, 63, 4, 9, 4, 52, 5, 15, 17, 5, 12, 10]"
2817,a=(v)/(1/3-alpha),2,<EXPR_START> <ASSIGN_START> IDENT:a = <MUL_START> <PAREN_START> IDENT:v <PAREN_END> / <PAREN_START> <ADD_START> <MUL_START> NUMBER:1 / NUMBER:3 <MUL_END> - <MUL_START> IDENT:a * IDENT:l * IDENT:p * IDENT:h * IDENT:a <MUL_END> <ADD_END> <PAREN_END> <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 7, 14, 6, 18, 41, 17, 23, 18, 16, 6, 37, 23, 35, 5, 26, 6, 7, 4, 30, 4, 25, 4, 39, 4, 7, 5, 15, 17, 5, 12, 10]"
9432,P_rms=A^3,2,<EXPR_START> <ASSIGN_START> <MUL_START> IDENT:P * UNKNOWN:_ * IDENT:r * IDENT:m * IDENT:s <MUL_END> = <POW_START> IDENT:A ^ NUMBER:3 <POW_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 6, 57, 4, 9, 4, 34, 4, 21, 4, 27, 5, 14, 32, 47, 33, 35, 31, 12, 10]"
3775,P=partialB/partialx-(1+k+z)^2+(A-Q_avg)/(1-e+V_f+h+v_net^2)+pi-epsilon^--theta,5,<EXPR_START> <ASSIGN_START> IDENT:P = <ADD_START> <MUL_START> IDENT:p * IDENT:a * IDENT:r * IDENT:t * IDENT:i * IDENT:a * IDENT:l * IDENT:B / IDENT:p * IDENT:a * IDENT:r * IDENT:t * IDENT:i * IDENT:a * IDENT:l * IDENT:x <MUL_END> - <POW_START> <PAREN_START> <ADD_START> NUMBER:1 + IDENT:k + IDENT:z <ADD_END> <PAREN_END> ^ NUMBER:2 <POW_END> + <MUL_START> <PAREN_START> <ADD_START> IDENT:A - <MUL_START> IDENT:Q * UNKNOWN:_ * IDENT:a * IDENT:v * IDENT:g <MUL_END> <ADD_END> <PAREN_END> / <PAREN_START> <ADD_START> NUMBER:1 - IDENT:e + <MUL_START> IDENT:V * UNKNOWN:_ * IDENT:f <MUL_END> + IDENT:h + <MUL_START> IDENT:v * UNKNOWN:_ * IDENT:n * IDENT:e * <POW_START> IDENT:t ^ NUMBER:2 <POW_END> <MUL_END> <ADD_END> <PAREN_END> <MUL_END> + <MUL_START> IDENT:p * IDENT:i <MUL_END> - <MUL_START> IDENT:e * IDENT:p * IDENT:s * IDENT:i * IDENT:l * IDENT:o * <POW_START> IDENT:n ^ NUMBER:-1 <POW_END> <MUL_END> - UNKNOWN:- <ADD_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 57, 14, 16, 6, 25, 4, 7, 4, 34, 4, 20, 4, 19, 4, 7, 4, 30, 4, 64, 23, 25, 4, 7, 4, 34, 4, 20, 4, 19, 4, 7, 4, 30, 4, 40, 5, 26, 32, 18, 16, 37, 8, 66, 8, 67, 15, 17, 33, 29, 31, 8, 6, 18, 16, 47, 26, 6, 59, 4, 9, 4, 7, 4, 41, 4, 36, 5, 15, 17, 23, 18, 16, 37, 26, 28, 8, 6, 53, 4, 9, 4, 51, 5, 8, 39, 8, 6, 41, 4, 9, 4, 22, 4, 28, 4, 32, 20, 33, 29, 31, 5, 15, 17, 5, 8, 6, 25, 4, 19, 5, 26, 6, 28, 4, 25, 4, 27, 4, 19, 4, 30, 4, 45, 4, 32, 22, 33, 75, 31, 5, 26, 82, 15, 12, 10]"
6496,C=theta_2,1,<EXPR_START> <ASSIGN_START> IDENT:C = <MUL_START> IDENT:t * IDENT:h * IDENT:e * IDENT:t * IDENT:a * UNKNOWN:_ * NUMBER:2 <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 60, 14, 6, 20, 4, 39, 4, 28, 4, 20, 4, 7, 4, 9, 4, 29, 5, 12, 10]"
8879,L=int(2+sigma)dt,4,<EXPR_START> <ASSIGN_START> IDENT:L = <MUL_START> IDENT:i * IDENT:n * IDENT:t * <PAREN_START> <ADD_START> NUMBER:2 + <MUL_START> IDENT:s * IDENT:i * IDENT:g * IDENT:m * IDENT:a <MUL_END> <ADD_END> <PAREN_END> * IDENT:d * IDENT:t <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 50, 14, 6, 19, 4, 22, 4, 20, 4, 18, 16, 29, 8, 6, 27, 4, 19, 4, 36, 4, 21, 4, 7, 5, 15, 17, 4, 38, 4, 20, 5, 12, 10]"
7362,E=(1/2-beta_max)/(x_f),2,<EXPR_START> <ASSIGN_START> IDENT:E = <MUL_START> <PAREN_START> <ADD_START> <MUL_START> NUMBER:1 / NUMBER:2 <MUL_END> - <MUL_START> IDENT:b * IDENT:e * IDENT:t * IDENT:a * UNKNOWN:_ * IDENT:m * IDENT:a * IDENT:x <MUL_END> <ADD_END> <PAREN_END> / <PAREN_START> <MUL_START> IDENT:x * UNKNOWN:_ * IDENT:f <MUL_END> <PAREN_END> <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 58, 14, 6, 18, 16, 6, 37, 23, 29, 5, 26, 6, 44, 4, 28, 4, 20, 4, 7, 4, 9, 4, 21, 4, 7, 4, 40, 5, 15, 17, 23, 18, 6, 40, 4, 9, 4, 51, 5, 17, 5, 12, 10]"
8367,R=(B_0)/(3*P),2,<EXPR_START> <ASSIGN_START> IDENT:R = <MUL_START> <PAREN_START> <MUL_START> IDENT:B * UNKNOWN:_ * NUMBER:0 <MUL_END> <PAREN_END> / <PAREN_START> <MUL_START> NUMBER:3 * IDENT:P <MUL_END> <PAREN_END> <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 46, 14, 6, 18, 6, 64, 4, 9, 4, 52, 5, 17, 23, 18, 6, 35, 4, 57, 5, 17, 5, 12, 10]"
7475,b=2/3-G+s_f-alpha+(4+c*a_i+omega)/(1*R+psi+tau)-(k+alpha^2+W)^n,5,<EXPR_START> <ASSIGN_START> IDENT:b = <ADD_START> <MUL_START> NUMBER:2 / NUMBER:3 <MUL_END> - IDENT:G + <MUL_START> IDENT:s * UNKNOWN:_ * IDENT:f <MUL_END> - <MUL_START> IDENT:a * IDENT:l * IDENT:p * IDENT:h * IDENT:a <MUL_END> + <MUL_START> <PAREN_START> <ADD_START> NUMBER:4 + <MUL_START> IDENT:c * IDENT:a * UNKNOWN:_ * IDENT:i <MUL_END> + <MUL_START> IDENT:o * IDENT:m * IDENT:e * IDENT:g * IDENT:a <MUL_END> <ADD_END> <PAREN_END> / <PAREN_START> <ADD_START> <MUL_START> NUMBER:1 * IDENT:R <MUL_END> + <MUL_START> IDENT:p * IDENT:s * IDENT:i <MUL_END> + <MUL_START> IDENT:t * IDENT:a * IDENT:u <MUL_END> <ADD_END> <PAREN_END> <MUL_END> - <POW_START> <PAREN_START> <ADD_START> IDENT:k + <MUL_START> IDENT:a * IDENT:l * IDENT:p * IDENT:h * <POW_START> IDENT:a ^ NUMBER:2 <POW_END> <MUL_END> + IDENT:W <ADD_END> <PAREN_END> ^ IDENT:n <POW_END> <ADD_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 44, 14, 16, 6, 29, 23, 35, 5, 26, 70, 8, 6, 27, 4, 9, 4, 51, 5, 26, 6, 7, 4, 30, 4, 25, 4, 39, 4, 7, 5, 8, 6, 18, 16, 48, 8, 6, 42, 4, 7, 4, 9, 4, 19, 5, 8, 6, 45, 4, 21, 4, 28, 4, 36, 4, 7, 5, 15, 17, 23, 18, 16, 6, 37, 4, 46, 5, 8, 6, 25, 4, 27, 4, 19, 5, 8, 6, 20, 4, 7, 4, 43, 5, 15, 17, 5, 26, 32, 18, 16, 66, 8, 6, 7, 4, 30, 4, 25, 4, 39, 4, 32, 7, 33, 29, 31, 5, 8, 65, 15, 17, 33, 22, 31, 15, 12, 10]"
47,n=(1/3+beta)^3,2,<EXPR_START> <ASSIGN_START> IDENT:n = <POW_START> <PAREN_START> <ADD_START> <MUL_START> NUMBER:1 / NUMBER:3 <MUL_END> + <MUL_START> IDENT:b * IDENT:e * IDENT:t * IDENT:a <MUL_END> <ADD_END> <PAREN_END> ^ NUMBER:3 <POW_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 22, 14, 32, 18, 16, 6, 37, 23, 35, 5, 8, 6, 44, 4, 28, 4, 20, 4, 7, 5, 15, 17, 33, 35, 31, 12, 10]"
31,h=phi,1,<EXPR_START> <ASSIGN_START> IDENT:h = <MUL_START> IDENT:p * IDENT:h * IDENT:i <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 39, 14, 6, 25, 4, 39, 4, 19, 5, 12, 10]"
8251,h=v,1,<EXPR_START> <ASSIGN_START> IDENT:h = IDENT:v <ASSIGN_END> <EXPR_END>,"[11, 13, 39, 14, 41, 12, 10]"
6936,x=g,1,<EXPR_START> <ASSIGN_START> IDENT:x = IDENT:g <ASSIGN_END> <EXPR_END>,"[11, 13, 40, 14, 36, 12, 10]"
1469,a=int_a^inf(1/3+k+mu+lambda+t_1^3)dr,4,<EXPR_START> <ASSIGN_START> IDENT:a = <MUL_START> IDENT:i * IDENT:n * IDENT:t * UNKNOWN:_ * <POW_START> IDENT:a ^ IDENT:i <POW_END> * IDENT:n * IDENT:f * <PAREN_START> <ADD_START> <MUL_START> NUMBER:1 / NUMBER:3 <MUL_END> + IDENT:k + <MUL_START> IDENT:m * IDENT:u <MUL_END> + <MUL_START> IDENT:l * IDENT:a * IDENT:m * IDENT:b * IDENT:d * IDENT:a <MUL_END> + <MUL_START> IDENT:t * UNKNOWN:_ * <POW_START> NUMBER:1 ^ NUMBER:3 <POW_END> <MUL_END> <ADD_END> <PAREN_END> * IDENT:d * IDENT:r <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 7, 14, 6, 19, 4, 22, 4, 20, 4, 9, 4, 32, 7, 33, 19, 31, 4, 22, 4, 51, 4, 18, 16, 6, 37, 23, 35, 5, 8, 66, 8, 6, 21, 4, 43, 5, 8, 6, 30, 4, 7, 4, 21, 4, 44, 4, 38, 4, 7, 5, 8, 6, 20, 4, 9, 4, 32, 37, 33, 35, 31, 5, 15, 17, 4, 38, 4, 34, 5, 12, 10]"
1666,T=1/3+d_0,1,<EXPR_START> <ASSIGN_START> IDENT:T = <ADD_START> <MUL_START> NUMBER:1 / NUMBER:3 <MUL_END> + <MUL_START> IDENT:d * UNKNOWN:_ * NUMBER:0 <MUL_END> <ADD_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 56, 14, 16, 6, 37, 23, 35, 5, 8, 6, 38, 4, 9, 4, 52, 5, 15, 12, 10]"
1417,T=(1/2-L)/(theta),2,<EXPR_START> <ASSIGN_START> IDENT:T = <MUL_START> <PAREN_START> <ADD_START> <MUL_START> NUMBER:1 / NUMBER:2 <MUL_END> - IDENT:L <ADD_END> <PAREN_END> / <PAREN_START> <MUL_START> IDENT:t * IDENT:h * IDENT:e * IDENT:t * IDENT:a <MUL_END> <PAREN_END> <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 56, 14, 6, 18, 16, 6, 37, 23, 29, 5, 26, 50, 15, 17, 23, 18, 6, 20, 4, 39, 4, 28, 4, 20, 4, 7, 5, 17, 5, 12, 10]"
6481,B=1/3-tau,1,<EXPR_START> <ASSIGN_START> IDENT:B = <ADD_START> <MUL_START> NUMBER:1 / NUMBER:3 <MUL_END> - <MUL_START> IDENT:t * IDENT:a * IDENT:u <MUL_END> <ADD_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 64, 14, 16, 6, 37, 23, 35, 5, 26, 6, 20, 4, 7, 4, 43, 5, 15, 12, 10]"
4853,y=sqrt(e-v_1+P),3,<EXPR_START> <ASSIGN_START> IDENT:y = <MUL_START> IDENT:s * IDENT:q * IDENT:r * IDENT:t * <PAREN_START> <ADD_START> IDENT:e - <MUL_START> IDENT:v * UNKNOWN:_ * NUMBER:1 <MUL_END> + IDENT:P <ADD_END> <PAREN_END> <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 54, 14, 6, 27, 4, 76, 4, 34, 4, 20, 4, 18, 16, 28, 26, 6, 41, 4, 9, 4, 37, 5, 8, 57, 15, 17, 5, 12, 10]"
2471,Q=alpha,1,<EXPR_START> <ASSIGN_START> IDENT:Q = <MUL_START> IDENT:a * IDENT:l * IDENT:p * IDENT:h * IDENT:a <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 59, 14, 6, 7, 4, 30, 4, 25, 4, 39, 4, 7, 5, 12, 10]"
4374,F=partiala/partialx,4,<EXPR_START> <ASSIGN_START> IDENT:F = <MUL_START> IDENT:p * IDENT:a * IDENT:r * IDENT:t * IDENT:i * IDENT:a * IDENT:l * IDENT:a / IDENT:p * IDENT:a * IDENT:r * IDENT:t * IDENT:i * IDENT:a * IDENT:l * IDENT:x <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 61, 14, 6, 25, 4, 7, 4, 34, 4, 20, 4, 19, 4, 7, 4, 30, 4, 7, 23, 25, 4, 7, 4, 34, 4, 20, 4, 19, 4, 7, 4, 30, 4, 40, 5, 12, 10]"
8525,T=sum_i=0^n(3+R+mu^n+a)-(R*alpha*r^n*gamma)/(1/2*pi-h+epsilon),5,<EXPR_START> <ASSIGN_START> IDENT:T = <MUL_START> IDENT:s * IDENT:u * IDENT:m * UNKNOWN:_ * IDENT:i <MUL_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 56, 14, 6, 27, 4, 43, 4, 21, 4, 9, 4, 19, 5, 12, 10]"
430,n=4/3-N_A*p*a^3-T^2-B_min,5,<EXPR_START> <ASSIGN_START> IDENT:n = <ADD_START> <MUL_START> NUMBER:4 / NUMBER:3 <MUL_END> - <MUL_START> IDENT:N * UNKNOWN:_ * IDENT:A * IDENT:p * <POW_START> IDENT:a ^ NUMBER:3 <POW_END> <MUL_END> - <POW_START> IDENT:T ^ NUMBER:2 <POW_END> - <MUL_START> IDENT:B * UNKNOWN:_ * IDENT:m * IDENT:i * IDENT:n <MUL_END> <ADD_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 22, 14, 16, 6, 48, 23, 35, 5, 26, 6, 72, 4, 9, 4, 47, 4, 25, 4, 32, 7, 33, 35, 31, 5, 26, 32, 56, 33, 29, 31, 26, 6, 64, 4, 9, 4, 21, 4, 19, 4, 22, 5, 15, 12, 10]"
5245,V=partialW/partialt+dE/dx-(1/2+gamma_avg*s_0-beta)/(1/2+h-phi)+(2/3+N_A+phi_net^-1)^n,5,<EXPR_START> <ASSIGN_START> IDENT:V = <ADD_START> <MUL_START> IDENT:p * IDENT:a * IDENT:r * IDENT:t * IDENT:i * IDENT:a * IDENT:l * IDENT:W / IDENT:p * IDENT:a * IDENT:r * IDENT:t * IDENT:i * IDENT:a * IDENT:l * IDENT:t <MUL_END> + <MUL_START> IDENT:d * IDENT:E / IDENT:d * IDENT:x <MUL_END> - <MUL_START> <PAREN_START> <ADD_START> <MUL_START> NUMBER:1 / NUMBER:2 <MUL_END> + <MUL_START> IDENT:g * IDENT:a * IDENT:m * IDENT:m * IDENT:a * UNKNOWN:_ * IDENT:a * IDENT:v * IDENT:g * IDENT:s * UNKNOWN:_ * NUMBER:0 <MUL_END> - <MUL_START> IDENT:b * IDENT:e * IDENT:t * IDENT:a <MUL_END> <ADD_END> <PAREN_END> / <PAREN_START> <ADD_START> <MUL_START> NUMBER:1 / NUMBER:2 <MUL_END> + IDENT:h - <MUL_START> IDENT:p * IDENT:h * IDENT:i <MUL_END> <ADD_END> <PAREN_END> <MUL_END> + <POW_START> <PAREN_START> <ADD_START> <MUL_START> NUMBER:2 / NUMBER:3 <MUL_END> + <MUL_START> IDENT:N * UNKNOWN:_ * IDENT:A <MUL_END> + <MUL_START> IDENT:p * IDENT:h * IDENT:i * UNKNOWN:_ * IDENT:n * IDENT:e * <POW_START> IDENT:t ^ NUMBER:-1 <POW_END> <MUL_END> <ADD_END> <PAREN_END> ^ IDENT:n <POW_END> <ADD_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 53, 14, 16, 6, 25, 4, 7, 4, 34, 4, 20, 4, 19, 4, 7, 4, 30, 4, 65, 23, 25, 4, 7, 4, 34, 4, 20, 4, 19, 4, 7, 4, 30, 4, 20, 5, 8, 6, 38, 4, 58, 23, 38, 4, 40, 5, 26, 6, 18, 16, 6, 37, 23, 29, 5, 8, 6, 36, 4, 7, 4, 21, 4, 21, 4, 7, 4, 9, 4, 7, 4, 41, 4, 36, 4, 27, 4, 9, 4, 52, 5, 26, 6, 44, 4, 28, 4, 20, 4, 7, 5, 15, 17, 23, 18, 16, 6, 37, 23, 29, 5, 8, 39, 26, 6, 25, 4, 39, 4, 19, 5, 15, 17, 5, 8, 32, 18, 16, 6, 29, 23, 35, 5, 8, 6, 72, 4, 9, 4, 47, 5, 8, 6, 25, 4, 39, 4, 19, 4, 9, 4, 22, 4, 28, 4, 32, 20, 33, 75, 31, 5, 15, 17, 33, 22, 31, 15, 12, 10]"
2120,z=int(N_A+mu_2^2)dV-int(c_min+v_f)dx+(r^2+h)/(k*V_max+b*F),5,<EXPR_START> <ASSIGN_START> IDENT:z = <ADD_START> <MUL_START> IDENT:i * IDENT:n * IDENT:t * <PAREN_START> <ADD_START> <MUL_START> IDENT:N * UNKNOWN:_ * IDENT:A <MUL_END> + <MUL_START> IDENT:m * IDENT:u * UNKNOWN:_ * <POW_START> NUMBER:2 ^ NUMBER:2 <POW_END> <MUL_END> <ADD_END> <PAREN_END> * IDENT:d * IDENT:V <MUL_END> - <MUL_START> IDENT:i * IDENT:n * IDENT:t * <PAREN_START> <ADD_START> <MUL_START> IDENT:c * UNKNOWN:_ * IDENT:m * IDENT:i * IDENT:n <MUL_END> + <MUL_START> IDENT:v * UNKNOWN:_ * IDENT:f <MUL_END> <ADD_END> <PAREN_END> * IDENT:d * IDENT:x <MUL_END> + <MUL_START> <PAREN_START> <ADD_START> <POW_START> IDENT:r ^ NUMBER:2 <POW_END> + IDENT:h <ADD_END> <PAREN_END> / <PAREN_START> <ADD_START> <MUL_START> IDENT:k * IDENT:V * UNKNOWN:_ * IDENT:m * IDENT:a * IDENT:x <MUL_END> + <MUL_START> IDENT:b * IDENT:F <MUL_END> <ADD_END> <PAREN_END> <MUL_END> <ADD_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 67, 14, 16, 6, 19, 4, 22, 4, 20, 4, 18, 16, 6, 72, 4, 9, 4, 47, 5, 8, 6, 21, 4, 43, 4, 9, 4, 32, 29, 33, 29, 31, 5, 15, 17, 4, 38, 4, 53, 5, 26, 6, 19, 4, 22, 4, 20, 4, 18, 16, 6, 42, 4, 9, 4, 21, 4, 19, 4, 22, 5, 8, 6, 41, 4, 9, 4, 51, 5, 15, 17, 4, 38, 4, 40, 5, 8, 6, 18, 16, 32, 34, 33, 29, 31, 8, 39, 15, 17, 23, 18, 16, 6, 66, 4, 53, 4, 9, 4, 21, 4, 7, 4, 40, 5, 8, 6, 44, 4, 61, 5, 15, 17, 5, 15, 12, 10]"
386,n=2/3+I,1,<EXPR_START> <ASSIGN_START> IDENT:n = <ADD_START> <MUL_START> NUMBER:2 / NUMBER:3 <MUL_END> + IDENT:I <ADD_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 22, 14, 16, 6, 29, 23, 35, 5, 8, 63, 15, 12, 10]"
1946,Q=1+v,1,<EXPR_START> <ASSIGN_START> IDENT:Q = <ADD_START> NUMBER:1 + IDENT:v <ADD_END> <ASSIGN_END> <EXPR_END>,"[11, 13, 59, 14, 16, 37, 8, 41, 15, 12, 10]"
